userId,movieId,rating,rating_year
196306,3703,4.0,2003
177777,1380,4.0,2021
73911,52722,3.5,2020
96042,3362,5.0,2000
187477,106100,4.5,2020
168724,4712,4.0,2002
62258,6564,2.5,2005
21978,49272,3.0,2017
62293,73290,4.0,2023
166241,296,4.5,2007
77337,4844,3.0,2002
103597,115713,5.0,2021
34556,364,3.0,2018
51981,1961,4.5,2008
161865,4571,3.5,2020
119724,53464,1.0,2014
100192,2028,5.0,2018
106991,356,4.5,2006
178706,5418,4.5,2017
19876,32,4.0,2011
1565,1035,4.5,2006
76386,913,5.0,2013
126506,2724,3.5,2006
41052,296,3.0,1999
49243,6188,3.5,2015
142230,93,1.0,2020
36558,7293,3.5,2020
159785,180985,4.5,2020
62771,53000,3.0,2018
141361,2541,4.0,2002
184497,3559,4.0,2013
198544,900,4.5,2020
192649,186,2.5,2005
95872,43836,2.5,2018
79907,3155,3.0,2002
101551,134130,3.5,2016
60423,91535,3.5,2015
84366,4367,2.0,2016
56986,760,3.0,2007
50852,43836,2.5,2016
78952,6537,3.0,2007
145473,1178,5.0,2002
140300,1393,5.0,2001
111307,4027,3.0,2009
82050,106330,5.0,2016
88924,68954,4.5,2015
187835,66097,2.5,2010
147865,2023,3.0,2000
152003,89745,3.5,2016
64777,505,3.0,1997
57789,7160,3.5,2009
94287,223944,3.0,2020
58656,6377,5.0,2021
135752,265,4.0,1997
176747,87529,3.5,2012
195725,49932,3.5,2011
65424,6711,3.0,2019
24327,111443,3.5,2017
43466,2291,3.5,2015
19977,1967,3.0,2003
50875,191869,4.0,2021
56725,135,2.0,2002
67950,4995,4.0,2020
177303,4340,4.5,2009
24637,64969,3.5,2022
24257,77561,5.0,2017
178912,159858,2.5,2019
173415,62,4.0,1998
3400,5015,5.0,2023
10515,136469,4.0,2017
193799,142488,5.0,2023
17796,1747,2.0,2011
131944,2248,1.5,2009
91496,97866,5.0,2020
151525,457,4.0,1996
47699,4447,5.0,2001
115774,3785,1.5,2013
80097,46578,4.5,2017
191490,8581,3.5,2014
63436,111921,4.0,2017
120029,4312,4.0,2022
30250,2959,3.0,2004
159913,380,3.0,2006
134746,4298,5.0,2010
199585,6934,3.5,2007
181722,1645,4.0,2010
74838,72998,3.0,2022
56310,30793,4.0,2005
160511,168288,0.5,2017
200564,6377,4.5,2005
70108,3071,4.5,2008
52129,4776,4.0,2019
85764,1238,3.0,1997
160837,362,3.0,2012
182301,2683,3.0,2004
140341,1479,4.0,2006
7209,8957,3.5,2017
10280,2117,2.5,2020
69830,3355,3.0,2017
185484,6283,4.0,2011
119278,2567,4.0,2005
85554,33834,1.5,2015
105193,254,3.0,1996
140961,8665,3.5,2017
68239,34542,4.0,2016
126184,2686,2.0,1999
100611,162592,4.0,2019
65382,1196,4.0,2018
160011,1237,4.5,2015
30349,4084,0.5,2016
21011,5691,0.5,2016
156630,194,4.0,1999
142527,69,1.5,2011
33879,4848,4.0,2005
117679,2729,4.0,2020
127690,68954,5.0,2017
86543,27266,5.0,2005
11468,96079,3.5,2015
40948,1135,3.5,2007
23998,31658,4.5,2009
200877,2657,3.0,2000
113794,1911,2.0,2007
2704,61240,3.0,2015
146492,59369,4.5,2019
35193,500,1.0,2017
172754,2459,5.0,2019
194033,86332,4.0,2013
126335,1198,4.0,2003
88477,2571,5.0,2018
184419,4973,3.0,2003
187965,3252,4.0,2005
74282,104879,4.5,2017
154379,24,1.0,2001
186744,96079,2.5,2020
188060,1580,5.0,2000
49712,2555,1.0,2000
72302,1580,2.5,2008
88922,1080,5.0,2000
11866,4502,3.0,2001
92920,1682,4.0,2021
94193,1225,5.0,2000
166073,6116,3.5,2011
55486,1089,4.5,2004
170065,296,2.5,2009
76564,3148,4.0,2001
104122,3798,3.0,2020
40603,118880,3.5,2015
94659,592,4.0,2021
191814,2,4.0,2017
28311,4034,4.0,2001
88625,2470,1.0,2000
96624,805,3.0,1996
191856,4427,4.0,2002
133878,50445,2.0,2018
44622,4025,3.0,2023
69371,3932,5.0,2001
90675,3988,3.5,2003
178716,79132,5.0,2017
178134,8638,4.0,2006
148643,2353,4.0,2000
60881,2023,4.0,2012
50810,3980,4.0,2001
92292,1256,4.0,1999
33198,194951,3.5,2019
51548,1266,5.0,2015
82047,4848,5.0,2023
88454,1219,5.0,2005
108662,1223,3.0,2013
21586,4664,4.0,2007
174512,3936,3.0,2001
56403,4973,2.5,2014
177172,76093,3.5,2019
169268,3745,3.5,2011
191336,367,3.0,2003
35480,1208,4.5,2005
44042,3932,3.5,2018
90847,541,4.5,2006
32416,60397,4.5,2009
167257,163,2.5,2005
140430,6870,3.5,2021
91804,70286,3.5,2023
173726,33162,3.5,2023
23783,1566,4.5,2020
36277,1923,4.0,1999
96930,84601,3.0,2021
194848,48394,4.0,2014
110286,2394,5.0,2023
21053,3147,5.0,2017
124075,114180,5.0,2021
186078,3147,4.0,2005
110951,110586,0.5,2015
28607,7045,4.0,2012
17236,1263,4.5,2007
184671,7058,3.5,2009
146835,9,2.0,2007
114864,68793,4.5,2018
23524,2,2.5,2003
164152,3269,4.0,2000
184167,5049,4.0,2007
182917,120466,4.0,2020
57618,5507,3.0,2019
18413,31685,4.0,2018
113165,250,3.5,2010
105864,2959,5.0,2017
116050,54997,4.5,2009
188136,7293,3.5,2015
96853,1061,2.5,2010
79364,788,3.0,1997
169008,8507,4.5,2015
147695,8368,0.5,2019
185807,112183,4.0,2015
133093,1034,4.0,1999
140118,8376,3.5,2009
180284,38038,4.5,2007
34126,6973,2.0,2004
18271,8957,4.0,2022
30668,5010,4.0,2013
110497,5956,4.5,2004
87151,6711,5.0,2008
139227,2959,4.0,2017
163738,904,5.0,1999
93880,7319,2.5,2007
39719,457,3.0,1996
148957,555,5.0,1999
26022,4679,3.5,2010
149059,318,5.0,2001
4841,1240,5.0,2000
5085,6987,3.5,2010
183045,189713,3.5,2020
185693,2054,3.0,2006
121033,520,2.5,2006
118812,357,2.0,2000
122663,90717,4.0,2015
74207,6373,3.5,2016
90531,2951,3.5,2018
72043,3566,2.0,2002
156583,5502,3.5,2009
32220,1219,5.0,2005
113868,451,5.0,1999
62081,2706,3.0,2009
190940,2987,1.5,2008
42655,1056,4.0,1997
138530,318,5.0,2021
158304,1916,5.0,2000
168166,2997,4.5,2010
189883,7154,2.0,2016
60081,76251,5.0,2012
94561,112290,3.0,2021
154418,76251,3.0,2015
113002,3176,4.0,2000
159949,5902,3.0,2005
153439,8641,3.0,2017
77203,500,5.0,1996
72718,1663,3.0,2011
129925,58559,5.0,2012
188400,2804,5.0,2000
65145,1,4.0,2005
31132,77561,4.0,2013
90382,2006,4.0,2002
65900,32,4.0,2004
150469,8361,4.5,2009
126198,203160,4.0,2020
140752,4351,3.5,2023
62392,3071,4.0,2001
100126,34,5.0,1999
88325,2517,2.5,2019
37000,2529,4.5,2008
199041,588,1.0,1996
12168,1276,5.0,2018
71368,71264,4.0,2020
26509,225,4.0,1996
95756,1927,5.0,2000
142432,2054,3.0,2002
5971,434,1.0,2016
116067,6377,5.0,2009
193442,3155,4.0,2017
94527,195159,4.5,2022
142340,95875,3.5,2016
2295,253,3.5,2017
160519,270,3.0,1996
96769,7458,3.5,2015
76454,2,3.5,2023
161442,590,5.0,1996
54682,26258,5.0,2009
118,8910,5.0,2007
12766,494,3.0,1998
82886,84772,3.5,2016
122507,6,5.0,2000
62860,1233,5.0,2000
160081,111759,3.5,2016
67229,3452,4.5,2004
166183,589,4.0,1996
167415,64030,2.5,2019
23004,104211,4.5,2020
101627,1148,5.0,1999
38493,1961,3.5,2020
189305,4011,4.0,2009
65880,1091,5.0,2003
129927,21,4.0,1996
108831,106920,4.0,2015
88091,3273,4.0,2000
49101,1242,5.0,1998
134898,2617,3.0,2003
101401,2424,2.5,2019
23174,455,0.5,2013
79723,344,1.0,2016
133250,2792,3.0,2008
183439,1183,4.0,1999
117286,109487,4.5,2018
26049,3720,5.0,2001
43348,55820,4.5,2017
128508,225,3.0,2002
195405,45880,3.5,2012
55935,208,2.0,2008
66044,2917,4.0,2000
149195,788,5.0,1997
108175,333,5.0,1997
38984,2804,4.0,2006
117872,6377,2.5,2012
194269,122916,4.5,2018
94737,2033,4.5,2009
30741,74458,4.5,2010
129331,1805,4.0,2007
65583,1573,3.0,2000
81481,2739,2.0,2002
67329,1572,4.0,2010
77944,2010,3.5,2005
18673,127202,3.0,2020
155700,318,5.0,2021
51531,3972,3.5,2004
66958,8641,3.0,2006
75546,44191,3.0,2008
135555,367,2.5,2016
200424,7,3.0,1997
119724,145,3.0,2010
177090,7340,4.0,2022
177831,46948,4.5,2016
95124,4025,3.5,2005
4629,4351,3.0,2009
148695,356,5.0,1996
127463,7225,0.5,2006
71278,76251,4.0,2018
91199,802,1.0,2010
143099,3994,4.0,2004
159162,39,1.0,2007
167035,3362,3.5,2010
179017,3448,4.0,2005
189032,85367,3.5,2016
27725,279812,3.5,2023
46245,1275,3.0,2001
100588,1907,4.5,2012
19769,349,4.0,1996
134987,1270,5.0,2017
173254,119141,5.0,2020
182187,377,3.0,2010
44860,4499,3.5,2018
95961,32291,2.5,2009
23841,165,4.0,1996
35876,351,4.0,2007
57689,2501,3.0,2003
134107,53125,1.5,2019
71028,5989,4.0,2020
57719,80549,4.5,2021
150183,2762,5.0,2017
40535,4720,2.5,2005
148957,3386,5.0,2003
24141,280,4.0,1996
90863,708,3.0,2004
98396,2023,3.0,2019
80515,7449,1.5,2004
165060,1222,4.0,2023
109618,1580,4.5,2006
141974,2959,1.5,2017
162470,2918,4.5,2014
77399,4896,3.5,2004
114782,4041,4.0,2005
7766,2716,3.5,2010
49399,648,5.0,1996
141603,1204,5.0,1997
138602,5444,4.0,2019
11771,182715,2.5,2019
154688,76251,5.0,2015
84825,2028,5.0,1999
168242,52712,5.0,2015
179784,3006,5.0,2012
159661,170705,4.5,2018
101020,5063,3.5,2003
154565,5952,4.5,2005
174466,6333,4.0,2010
20237,4274,4.0,2001
107311,293,3.5,2005
187879,6957,1.0,2011
124969,3265,4.0,2000
69980,1373,5.0,2001
83451,5218,3.0,2006
124262,919,3.0,1998
